id,value
AstraZeneca,1
Novartis,1
EliLilly,1
Merck,1
NovoNordisk,1
BristolMyers,1
Takeda,1
PharmaResearch,1
Pfizer,1
GlaxoSmith,1
"Hudson, Richard",0
"Rosen, Jacky",0
"Clark, Katherine",0
"Tlaib, Rashida",0
"Jeffries, Hakeem",0
"Christie, Chris",0
DNC Services Corp,0
"Harris, Kamala",0
"Casey, Bob",0
Beyond Thoughts & Prayers PAC,0
Democratic Senatorial Campaign Cmte,0
"Cassidy, Bill",0
"Ocasio-Cortez, Alexandria",0
"Alsobrooks, Angela",0
"Kelly, Robin",0
"Schiff, Adam",0
"Slotkin, Elissa",0
"Haley, Nikki",0
ActBlue Non-Federal,0
"Davis, Don",0
"Guthrie, Brett",0
Forward Blue,0
"Gallego, Ruben",0
"Murphy, Greg",0
"Rodgers, Cathy McMorris",0
"Brown, Sherrod",0
"Frisch, Adam",0
"Allred, Colin",0
"Kaine, Tim",0
"Aguilar, Pete",0
"Rollins, Will",0
National Republican Congressional Cmte,0
Democratic Congressional Campaign Cmte,0
"Scott, Tim",0
"Baldwin, Tammy",0
"Smith, Jason",0
"Blackburn, Marsha",0
National Republican Senatorial Cmte,0
"Ferguson, Drew",0
"Rochester, Lisa Blunt",0
Together Holding Our Majority PAC,0
"Tester, Jon",0
