Recipient,Total,From Individuals,From Organization,Recipient Type,View
"Harris, Kamala",102991,102991,0,Candidate (D-PRES),Democrat
Democratic Congressional Campaign Cmte,36430,6430,30000,Political Party,Democrat
Democratic Senatorial Campaign Cmte,36321,6321,30000,Political Party,Democrat
National Republican Senatorial Cmte,30892,892,30000,Political Party,Republican
National Republican Congressional Cmte,30885,885,30000,Political Party,Republican
"Casey, Bob",12575,8575,4000,Candidate (D-PAS2),Democrat
"Smucker, Lloyd",10000,0,10000,Candidate (R-PA11),Republican
Big Sky Opportunity PAC,10000,0,10000,LeadPAC,Republican
Together Holding Our Majority PAC,10000,0,10000,LeadPAC,Republican
Building Up Democracy's Dream,10000,0,10000,LeadPAC,Republican
"Trump, Donald",9945,9945,0,Candidate (R-PRES),Republican
"Rosen, Jacky",9837,8837,1000,Candidate (D-NVS1),Democrat
"Tester, Jon",8273,3273,5000,Candidate (D-MTS1),Democrat
DNC Services Corp,8163,8163,0,Political Party,Democrat
"Carter, Buddy",7500,0,7500,Candidate (R-GA01),Republican
"Hudson, Richard",7500,0,7500,Candidate (R-NC09),Republican
"Baldwin, Tammy",7370,7370,0,Candidate (D-WIS1),Democrat
"McBride, Sarah",7360,7360,0,Candidate (D-DE01),Democrat
"Davis, Don",6004,4,6000,Candidate (D-NC01),Democrat
"Hern, Kevin",6000,0,6000,Candidate (R-OK01),Republican
"Murphy, Greg",6000,0,6000,Candidate (R-NC03),Republican
"Foushee, Valerie",5600,600,5000,Candidate (D-NC04),Democrat
"Blackburn, Marsha",5275,275,5000,Candidate (R-TNS1),Republican
"Foxx, Virginia",5250,250,5000,Candidate (R-NC05),Republican
"Gallego, Ruben",5233,5233,0,Candidate (D-AZ03),Democrat
"Barrasso, John",5000,0,5000,Candidate (R-WYS1),Republican
Bluegrass Cmte,5000,0,5000,LeadPAC,Republican
"Arrington, Jodey",5000,0,5000,Candidate (R-TX19),Republican
Majority Cmte PAC,5000,0,5000,Carey,Republican
Carolina Victory Fund,5000,5000,0,LeadPAC,Democrat
"Smith, Jason",5000,0,5000,Candidate (R-MO08),Republican
"McHenry, Patrick",5000,0,5000,Candidate (R-NC10),Republican
"Joyce, John",4500,0,4500,Candidate (R-PA13),Republican
"Dean, Madeleine",4175,1175,3000,Candidate (D-PA04),Democrat
"Crapo, Mike",3500,0,3500,Candidate (R-IDS2),Republican
"Peters, Gary",3500,0,3500,Candidate (D-MIS1),Democrat
"Pallone, Frank Jr",3500,0,3500,Candidate (D-NJ06),Democrat
"Guthrie, Brett",3500,0,3500,Candidate (R-KY02),Republican
"Allred, Colin",3443,3443,0,Candidate (D-TX32),Democrat
"Livingston, Scott",3300,3300,0,Candidate (D-NY03),Democrat
"Caraveo, Yadira",3300,3300,0,Candidate (D-CO08),Democrat
"Slotkin, Elissa",3224,3224,0,Candidate (D-MI07),Democrat
"Marshall, Roger",3000,0,3000,Candidate (R-KSS1),Republican
"Dunn, Neal",3000,0,3000,Candidate (R-FL02),Republican
"Ross, Deborah",2650,150,2500,Candidate (D-NC02),Democrat
"Zinke, Ryan",2625,125,2500,Candidate (R-MT01),Republican
"Sheehy, Tim",2530,30,2500,Candidate (R-MTS1),Republican
"Aguilar, Pete",2504,4,2500,Candidate (D-CA33),Democrat
"Ferguson, Drew",2500,0,2500,Candidate (R-GA03),Republican
"Clyburn, James E",2500,0,2500,Candidate (D-SC06),Democrat
"Clark, Katherine",2500,0,2500,Candidate (D-MA05),Democrat
"Cassidy, Bill",2500,0,2500,Candidate (R-LAS1),Republican
"Wenstrup, Brad",2500,0,2500,Candidate (R-OH02),Republican
"Mullin, Markwayne",2500,0,2500,Candidate (R-OKS2),Republican
"Ivey, Glenn",2500,0,2500,Candidate (D-MD04),Democrat
"Edwards, Chuck",2500,0,2500,Candidate (R-NC11),Republican
"Rodgers, Cathy McMorris",2500,0,2500,Candidate (R-WA05),Republican
First In Freedom PAC,2500,0,2500,LeadPAC,Republican
Jam PAC,2500,0,2500,LeadPAC,Republican
"Sinema, Kyrsten",2500,0,2500,Candidate (I-AZS2),Independent
BRIDGE PAC,2500,0,2500,LeadPAC,Democrat
"Kelly, Robin",2500,0,2500,Candidate (D-IL02),Democrat
"Schiff, Adam",2403,2403,0,Candidate (D-CA30),Democrat
"Rochester, Lisa Blunt",2338,1338,1000,Candidate (D-DE01),Democrat
"Kaine, Tim",2317,317,2000,Candidate (D-VAS1),Democrat
"Brown, Sherrod",2242,2242,0,Candidate (D-OHS1),Democrat
