Recipient,Total,From Individuals,From Organization,Recipient Type,View
"Harris, Kamala",69308,69308,0,Candidate (D-PRES),Democrat
Democratic Lieutenant Governors Assn,49000,0,49000,Political Party,Democrat
National Republican Congressional Cmte,20060,60,20000,Political Party,Republican
"Trump, Donald",10355,10355,0,Candidate (R-PRES),Republican
"Barragan, Nanette",10000,0,10000,Candidate (D-CA44),Democrat
"Moore, Gwen",10000,0,10000,Candidate (D-WI04),Democrat
"Davis, Don",10000,0,10000,Candidate (D-NC01),Democrat
"Hudson, Richard",10000,0,10000,Candidate (R-NC09),Republican
Building Up Democracy's Dream,10000,0,10000,LeadPAC,Republican
"Ruiz, Raul",10000,0,10000,Candidate (D-CA25),Democrat
Defend Our Conservative Senate PAC,10000,0,10000,LeadPAC,Republican
"Ross, Deborah",10000,0,10000,Candidate (D-NC02),Democrat
MARSHA PAC,8500,0,8500,Carey,Republican
"Schweikert, David",8500,0,8500,Candidate (R-AZ01),Republican
"Brown, Sherrod",7915,5415,2500,Candidate (D-OHS1),Democrat
"Rochester, Lisa Blunt",7600,100,7500,Candidate (D-DE01),Democrat
"Crapo, Mike",7500,0,7500,Candidate (R-IDS2),Republican
Wild & Wonderful PAC,7500,0,7500,LeadPAC,Republican
"DelBene, Suzan",7500,0,7500,Candidate (D-WA01),Democrat
"Foster, Bill",7500,0,7500,Candidate (D-IL11),Democrat
Together Holding Our Majority PAC,7500,0,7500,LeadPAC,Republican
Spike PAC,7500,0,7500,LeadPAC,Democrat
"Guthrie, Brett",7500,0,7500,Candidate (R-KY02),Republican
"Tester, Jon",7350,2350,5000,Candidate (D-MTS1),Democrat
Democratic Senatorial Campaign Cmte,7002,7002,0,Political Party,Democrat
"Casey, Bob",6587,6087,500,Candidate (D-PAS2),Democrat
"Ernst, Joni",6500,0,6500,Candidate (R-IAS2),Republican
"Pfluger, August",6000,0,6000,Candidate (R-TX11),Republican
"Wyden, Ron",6000,0,6000,Candidate (D-ORS2),Democrat
"Murphy, Greg",6000,0,6000,Candidate (R-NC03),Republican
"Scalise, Steve",5297,297,5000,Candidate (R-LA01),Republican
"Schumer, Charles E",5200,200,5000,Candidate (D-NYS2),Democrat
National Republican Senatorial Cmte,5100,100,5000,Political Party,Republican
"Banks, Jim",5015,15,5000,Candidate (R-IN03),Republican
"Johnson, Mike",5004,4,5000,Candidate (R-LA04),Republican
"Kelly, Robin",5000,0,5000,Candidate (D-IL02),Democrat
House Conservatives Fund,5000,0,5000,LeadPAC,Republican
Mr Southern Missourian in the House,5000,0,5000,LeadPAC,Republican
American Revival PAC,5000,0,5000,Carey,Republican
"Rodgers, Cathy McMorris",5000,0,5000,Candidate (R-WA05),Republican
"Rubio, Marco",5000,0,5000,Candidate (R-FLS2),Republican
"Wenstrup, Brad",5000,0,5000,Candidate (R-OH02),Republican
"Sewell, Terri",5000,0,5000,Candidate (D-AL07),Democrat
"Nickel, Wiley",5000,0,5000,Candidate (D-NC13),Democrat
Reclaim America PAC,5000,0,5000,LeadPAC,Republican
"Clyburn, James E",5000,0,5000,Candidate (D-SC06),Democrat
"Kuster, Ann",5000,0,5000,Candidate (D-NH02),Democrat
"Daines, Steven",5000,0,5000,Candidate (R-MTS2),Republican
"McCarthy, Kevin",5000,0,5000,Candidate (R-CA20),Republican
"Kaine, Tim",5000,0,5000,Candidate (D-VAS1),Democrat
"Horsford, Steven",5000,0,5000,Candidate (D-NV04),Democrat
"Curtis, John",5000,0,5000,Candidate (R-UT03),Republican
Eye of the Tiger PAC,5000,0,5000,LeadPAC,Republican
Continuing America's Strength & Security,5000,0,5000,LeadPAC,Republican
"Cornyn, John",5000,0,5000,Candidate (R-TXS1),Republican
"Tillis, Thom",5000,0,5000,Candidate (R-NCS1),Republican
"Coleman, Bonnie Watson",5000,0,5000,Candidate (D-NJ12),Democrat
"Arrington, Jodey",5000,0,5000,Candidate (R-TX19),Republican
"Budd, Ted",5000,0,5000,Candidate (R-NCS2),Republican
"Hern, Kevin",5000,0,5000,Candidate (R-OK01),Republican
"Trahan, Lori",5000,0,5000,Candidate (D-MA03),Democrat
"Smith, Jason",5000,0,5000,Candidate (R-MO08),Republican
Turquoise PAC,5000,0,5000,LeadPAC,Democrat
"Schmitt, Eric",4500,0,4500,Candidate (R-MOS1),Republican
"Pallone, Frank Jr",4500,0,4500,Candidate (D-NJ06),Democrat
"Neal, Richard E",4500,0,4500,Candidate (D-MA01),Democrat
"Rosen, Jacky",4375,1875,2500,Candidate (D-NVS1),Democrat
"Blackburn, Marsha",4000,0,4000,Candidate (R-TNS1),Republican
"Baldwin, Tammy",3660,3660,0,Candidate (D-WIS1),Democrat
Republican Party of Connecticut,3585,3585,0,Political Party,Republican
"Burgum, Doug",3506,3506,0,Candidate (R-PRES),Republican
"Dunn, Neal",3500,0,3500,Candidate (R-FL02),Republican
"Beatty, Joyce",3000,500,2500,Candidate (D-OH03),Democrat
CMR PAC,3000,0,3000,LeadPAC,Republican
"Payne, Donald M Jr",3000,0,3000,Candidate (D-NJ10),Democrat
"Alsobrooks, Angela",2525,25,2500,Candidate (D-MDS1),Democrat
GWEN PAC,2500,0,2500,LeadPAC,Democrat
"Cassidy, Bill",2500,0,2500,Candidate (R-LAS1),Republican
"Panetta, Jimmy",2500,0,2500,Candidate (D-CA19),Democrat
"McConnell, Mitch",2500,0,2500,Candidate (R-KYS1),Republican
"Clarke, Yvette",2500,0,2500,Candidate (D-NY09),Democrat
Common Ground PAC,2500,0,2500,LeadPAC,Democrat
"Carter, Troy",2500,0,2500,Candidate (D-LA02),Democrat
"Reschenthaler, Guy",2500,0,2500,Candidate (R-PA14),Republican
"Strickland, Marilyn",2500,0,2500,Candidate (D-WA10),Democrat
"Moore, Tim",2500,0,2500,Candidate (R-NC14),Republican
A New Direction PAC,2500,0,2500,LeadPAC,Democrat
Lobo PAC,2500,0,2500,LeadPAC,Democrat
"Cardenas, Tony",2500,0,2500,Candidate (D-CA29),Democrat
