source,target
AstraZeneca,Democratic Senatorial Campaign Cmte
AstraZeneca,"Harris, Kamala"
AstraZeneca,Democratic Lieutenant Governors Assn
AstraZeneca,"Trump, Donald"
AstraZeneca,National Republican Senatorial Cmte
AstraZeneca,National Republican Congressional Cmte
AstraZeneca,Democratic Party of Nevada
AstraZeneca,Democratic Congressional Campaign Cmte
AstraZeneca,DNC Services Corp
AstraZeneca,Michigan Democratic State Central Cmte
AstraZeneca,"Rosen, Jacky"
AstraZeneca,"Casey, Bob"
AstraZeneca,"Rochester, Lisa Blunt"
AstraZeneca,Democratic Party of Texas
AstraZeneca,"Slotkin, Elissa"
AstraZeneca,"Sherrill, Mikie"
AstraZeneca,Georgia Federal Elections Cmte
AstraZeneca,Democratic Party of Pennsylvania
AstraZeneca,ActBlue Non-Federal
AstraZeneca,Democratic Party of Arizona
AstraZeneca,"Tester, Jon"
AstraZeneca,Republican Party of Massachusetts
AstraZeneca,Lead Encourage Elect PAC
AstraZeneca,First In Freedom PAC
AstraZeneca,Massachusetts Democratic State Cmte
AstraZeneca,"Guthrie, Brett"
AstraZeneca,"Joyce, John"
AstraZeneca,First State PAC
AstraZeneca,Democratic Party of Illinois
AstraZeneca,"DeLauro, Rosa"
AstraZeneca,"Davis, Don"
AstraZeneca,"Haley, Nikki"
AstraZeneca,"Allred, Colin"
AstraZeneca,Democratic Party of Virginia
AstraZeneca,"Clark, Katherine"
AstraZeneca,Democratic Party of Hawaii
AstraZeneca,Indiana Democratic Congressional Victory Cmte
AstraZeneca,Democratic Party of New Mexico
AstraZeneca,Democratic Party of Oregon
AstraZeneca,"Brown, Sherrod"
AstraZeneca,"Miller-Meeks, Mariannette"
AstraZeneca,"Alsobrooks, Angela"
AstraZeneca,"Blackburn, Marsha"
AstraZeneca,"Peters, Scott"
AstraZeneca,"Bera, Ami"
AstraZeneca,"Scalise, Steve"
AstraZeneca,"Smith, Adrian"
AstraZeneca,Oorah! PAC
AstraZeneca,Beyond Thoughts & Prayers PAC
AstraZeneca,BRETTPAC
AstraZeneca,Big Sky Opportunity PAC
AstraZeneca,"Ruiz, Raul"
AstraZeneca,"Curtis, John"
AstraZeneca,Blue Hen PAC
AstraZeneca,Together Holding Our Majority PAC
AstraZeneca,"Hern, Kevin"
AstraZeneca,"Baldwin, Tammy"
AstraZeneca,Democratic Party of Montana
AstraZeneca,"DeSantis, Ron"
AstraZeneca,Missouri Democratic State Cmte
AstraZeneca,"Swalwell, Eric"
AstraZeneca,CMR PAC
AstraZeneca,"Johnson, Mike"
AstraZeneca,"Craig, Angie"
AstraZeneca,"Pallone, Frank Jr"
AstraZeneca,"Eshoo, Anna"
AstraZeneca,"Kelly, Robin"
AstraZeneca,"Boyle, Brendan"
AstraZeneca,Alamo PAC
AstraZeneca,"Schneider, Brad"
AstraZeneca,"Hogan, Larry"
AstraZeneca,"Peltola, Mary"
AstraZeneca,"McCarthy, Kevin"
AstraZeneca,"Gottheimer, Josh"
AstraZeneca,"DelBene, Suzan"
AstraZeneca,"Harshbarger, Diana"
AstraZeneca,"Bilirakis, Gus"
AstraZeneca,"Bell, Wesley"
AstraZeneca,"Comer, James"
AstraZeneca,"Scott, Tim"
AstraZeneca,"Jones, Mondaire"
AstraZeneca,"Barrasso, John"
AstraZeneca,Holding Onto Oregon's Priorities
AstraZeneca,Common Sense Maryland
AstraZeneca,"Vindman, Yevgeny 'Eugene'"
AstraZeneca,"Ansari, Yassamin"
AstraZeneca,"Sewell, Terri"
AstraZeneca,"Arrington, Jodey"
AstraZeneca,Heartland Values PAC
AstraZeneca,"Bucshon, Larry"
AstraZeneca,"Obernolte, Jay"
AstraZeneca,Building & Restoring the American Dream
AstraZeneca,Health Jobs Justice
AstraZeneca,"Matsui, Doris"
AstraZeneca,"LaHood, Darin"
AstraZeneca,"Mullin, Kevin"
AstraZeneca,Boots PAC
AstraZeneca,"Rodgers, Cathy McMorris"
AstraZeneca,People's Voice PAC
AstraZeneca,Mitten PAC
AstraZeneca,"Clarke, Yvette"
AstraZeneca,Democratic Party of Delaware
AstraZeneca,Treasure State PAC
AstraZeneca,Common Ground PAC
AstraZeneca,"Neal, Richard E"
AstraZeneca,"Carter, Buddy"
AstraZeneca,Continuing America's Strength & Security
AstraZeneca,"DeGette, Diana"
AstraZeneca,"Buchanan, Vernon"
AstraZeneca,"Ernst, Joni"
AstraZeneca,"Latimer, George"
AstraZeneca,"Kean, Thomas H Jr"
AstraZeneca,"Johnson, Hank"
AstraZeneca,"Griffith, Morgan"
AstraZeneca,"Bynum, Janelle"
AstraZeneca,"Perez, Marie Gluesenkamp"
AstraZeneca,"Torres, Ritchie"
