source,target
AstraZeneca,Democratic Senatorial Campaign Cmte
AstraZeneca,"Harris, Kamala"
AstraZeneca,National Republican Senatorial Cmte
AstraZeneca,National Republican Congressional Cmte
AstraZeneca,Democratic Congressional Campaign Cmte
AstraZeneca,DNC Services Corp
AstraZeneca,"Rosen, Jacky"
AstraZeneca,"Casey, Bob"
AstraZeneca,"Rochester, Lisa Blunt"
AstraZeneca,"Slotkin, Elissa"
AstraZeneca,ActBlue Non-Federal
AstraZeneca,"Tester, Jon"
AstraZeneca,"Guthrie, Brett"
AstraZeneca,"Davis, Don"
AstraZeneca,"Haley, Nikki"
AstraZeneca,"Allred, Colin"
AstraZeneca,"Clark, Katherine"
AstraZeneca,"Brown, Sherrod"
AstraZeneca,"Alsobrooks, Angela"
AstraZeneca,"Blackburn, Marsha"
AstraZeneca,Beyond Thoughts & Prayers PAC
AstraZeneca,Together Holding Our Majority PAC
AstraZeneca,"Baldwin, Tammy"
AstraZeneca,"Kelly, Robin"
AstraZeneca,"Scott, Tim"
AstraZeneca,"Rodgers, Cathy McMorris"
AstraZeneca,"Ferguson, Drew"
AstraZeneca,"Schiff, Adam"
AstraZeneca,"Gallego, Ruben"
AstraZeneca,"Kaine, Tim"
AstraZeneca,"Aguilar, Pete"
AstraZeneca,"Smith, Jason"
AstraZeneca,"Murphy, Greg"
AstraZeneca,"Hudson, Richard"
AstraZeneca,"Ocasio-Cortez, Alexandria"
AstraZeneca,"Cassidy, Bill"
AstraZeneca,Forward Blue
AstraZeneca,"Tlaib, Rashida"
AstraZeneca,"Frisch, Adam"
AstraZeneca,"Jeffries, Hakeem"
AstraZeneca,"Christie, Chris"
AstraZeneca,"Rollins, Will"
BristolMyers,"Harris, Kamala"
BristolMyers,Democratic Senatorial Campaign Cmte
BristolMyers,Democratic Congressional Campaign Cmte
BristolMyers,National Republican Congressional Cmte
BristolMyers,National Republican Senatorial Cmte
BristolMyers,DNC Services Corp
BristolMyers,"Hudson, Richard"
BristolMyers,"Brown, Sherrod"
BristolMyers,"Cassidy, Bill"
BristolMyers,"Casey, Bob"
BristolMyers,"Smith, Jason"
BristolMyers,"Guthrie, Brett"
BristolMyers,"Davis, Don"
BristolMyers,ActBlue Non-Federal
BristolMyers,"Rosen, Jacky"
BristolMyers,"Kaine, Tim"
BristolMyers,"Clark, Katherine"
BristolMyers,"Tester, Jon"
BristolMyers,"Kelly, Robin"
BristolMyers,"Ferguson, Drew"
BristolMyers,"Blackburn, Marsha"
BristolMyers,"Aguilar, Pete"
BristolMyers,Beyond Thoughts & Prayers PAC
BristolMyers,"Schiff, Adam"
BristolMyers,"Gallego, Ruben"
BristolMyers,"Baldwin, Tammy"
BristolMyers,"Murphy, Greg"
BristolMyers,"Allred, Colin"
BristolMyers,"Rodgers, Cathy McMorris"
BristolMyers,Together Holding Our Majority PAC
BristolMyers,Forward Blue
BristolMyers,"Haley, Nikki"
BristolMyers,"Slotkin, Elissa"
BristolMyers,"Rochester, Lisa Blunt"
BristolMyers,"Tlaib, Rashida"
BristolMyers,"Alsobrooks, Angela"
BristolMyers,"Jeffries, Hakeem"
BristolMyers,"Frisch, Adam"
BristolMyers,"Ocasio-Cortez, Alexandria"
BristolMyers,"Christie, Chris"
BristolMyers,"Rollins, Will"
BristolMyers,"Scott, Tim"
EliLilly,National Republican Congressional Cmte
EliLilly,"Harris, Kamala"
EliLilly,National Republican Senatorial Cmte
EliLilly,Democratic Senatorial Campaign Cmte
EliLilly,Democratic Congressional Campaign Cmte
EliLilly,"Guthrie, Brett"
EliLilly,DNC Services Corp
EliLilly,"Clark, Katherine"
EliLilly,"Hudson, Richard"
EliLilly,"Smith, Jason"
EliLilly,"Blackburn, Marsha"
EliLilly,"Kaine, Tim"
EliLilly,"Rochester, Lisa Blunt"
EliLilly,"Casey, Bob"
EliLilly,Together Holding Our Majority PAC
EliLilly,"Cassidy, Bill"
EliLilly,"Davis, Don"
EliLilly,ActBlue Non-Federal
EliLilly,"Tester, Jon"
EliLilly,"Alsobrooks, Angela"
EliLilly,"Murphy, Greg"
EliLilly,Beyond Thoughts & Prayers PAC
EliLilly,"Aguilar, Pete"
EliLilly,"Rodgers, Cathy McMorris"
EliLilly,"Haley, Nikki"
EliLilly,"Tlaib, Rashida"
EliLilly,"Kelly, Robin"
EliLilly,"Ferguson, Drew"
EliLilly,Forward Blue
EliLilly,"Gallego, Ruben"
EliLilly,"Rosen, Jacky"
EliLilly,"Brown, Sherrod"
EliLilly,"Jeffries, Hakeem"
EliLilly,"Allred, Colin"
EliLilly,"Ocasio-Cortez, Alexandria"
EliLilly,"Baldwin, Tammy"
EliLilly,"Frisch, Adam"
