Recipient,Total,From Individuals,From Organization,Recipient Type,View
Democratic Senatorial Campaign Cmte,335692,304692,31000,Political Party,Democrat
"Harris, Kamala",112513,112513,0,Candidate (D-PRES),Democrat
Democratic Lieutenant Governors Assn,100000,0,100000,Political Party,Democrat
"Trump, Donald",33698,33698,0,Candidate (R-PRES),Republican
National Republican Senatorial Cmte,32915,2915,30000,Political Party,Republican
National Republican Congressional Cmte,30795,795,30000,Political Party,Republican
Democratic Party of Nevada,20156,20156,0,Political Party,Democrat
Democratic Congressional Campaign Cmte,19916,19916,0,Political Party,Democrat
DNC Services Corp,14285,14285,0,Political Party,Democrat
Michigan Democratic State Central Cmte,14154,14154,0,Political Party,Democrat
"Rosen, Jacky",13751,9251,4500,Candidate (D-NVS1),Democrat
"Casey, Bob",13476,6976,6500,Candidate (D-PAS2),Democrat
"Rochester, Lisa Blunt",13300,3300,10000,Candidate (D-DE01),Democrat
Democratic Party of Texas,12939,12939,0,Political Party,Democrat
"Slotkin, Elissa",12226,12226,0,Candidate (D-MI07),Democrat
"Sherrill, Mikie",12124,7624,4500,Candidate (D-NJ11),Democrat
Georgia Federal Elections Cmte,11248,11248,0,Political Party,Democrat
Democratic Party of Pennsylvania,10694,10694,0,Political Party,Democrat
ActBlue Non-Federal,10429,10429,0,527,Liberal
Democratic Party of Arizona,10124,10124,0,Political Party,Democrat
"Tester, Jon",10111,5111,5000,Candidate (D-MTS1),Democrat
Republican Party of Massachusetts,10000,0,10000,Political Party,Republican
Lead Encourage Elect PAC,10000,0,10000,LeadPAC,Republican
First In Freedom PAC,10000,0,10000,LeadPAC,Republican
Massachusetts Democratic State Cmte,10000,0,10000,Political Party,Democrat
"Guthrie, Brett",10000,0,10000,Candidate (R-KY02),Republican
"Joyce, John",10000,0,10000,Candidate (R-PA13),Republican
First State PAC,10000,0,10000,LeadPAC,Democrat
Democratic Party of Illinois,9998,9998,0,Political Party,Democrat
"DeLauro, Rosa",9900,9900,0,Candidate (D-CT03),Democrat
"Davis, Don",9871,3371,6500,Candidate (D-NC01),Democrat
"Haley, Nikki",9406,9406,0,Candidate (R-PRES),Republican
"Allred, Colin",9257,9257,0,Candidate (D-TX32),Democrat
Democratic Party of Virginia,9166,9166,0,Political Party,Democrat
"Clark, Katherine",9135,135,9000,Candidate (D-MA05),Democrat
