Recipient,Total,From Individuals,From Organization,Recipient Type,View
Republican National Cmte,170608,170608,0,Political Party,Republican
"Harris, Kamala",164628,164628,0,Candidate (D-PRES),Democrat
Democratic Senatorial Campaign Cmte,41543,11543,30000,Political Party,Democrat
Democratic Congressional Campaign Cmte,38204,8204,30000,Political Party,Democrat
National Republican Congressional Cmte,32106,2106,30000,Political Party,Republican
National Republican Senatorial Cmte,31839,1839,30000,Political Party,Republican
"Trump, Donald",18636,18636,0,Candidate (R-PRES),Republican
DNC Services Corp,16555,16555,0,Political Party,Democrat
Impact (Schumer),15000,5000,10000,LeadPAC,Democrat
"Hudson, Richard",13300,3300,10000,Candidate (R-NC09),Republican
"Joyce, John",13300,3300,10000,Candidate (R-PA13),Republican
"Hogan, Larry",13200,13200,0,Candidate (R-MDS1),Republican
"Brown, Sherrod",11900,9400,2500,Candidate (D-OHS1),Democrat
"Cassidy, Bill",10400,7900,2500,Candidate (R-LAS1),Republican
"Casey, Bob",10217,5217,5000,Candidate (D-PAS2),Democrat
"Coleman, Bonnie Watson",10025,25,10000,Candidate (D-NJ12),Democrat
Bluegrass Cmte,10000,0,10000,LeadPAC,Republican
"Barrasso, John",10000,0,10000,Candidate (R-WYS1),Republican
"Smith, Jason",10000,0,10000,Candidate (R-MO08),Republican
Holding Onto Oregon's Priorities,10000,0,10000,LeadPAC,Democrat
"Guthrie, Brett",10000,0,10000,Candidate (R-KY02),Republican
"DelBene, Suzan",10000,0,10000,Candidate (D-WA01),Democrat
Getting Stuff Done PAC,10000,0,10000,LeadPAC,Independent
"Emmer, Tom",10000,0,10000,Candidate (R-MN06),Republican
Reclaim America PAC,10000,0,10000,LeadPAC,Republican
CMR PAC,10000,0,10000,LeadPAC,Republican
"Ruiz, Raul",10000,0,10000,Candidate (D-CA25),Democrat
"Davis, Don",9502,502,9000,Candidate (D-NC01),Democrat
ActBlue Non-Federal,9350,9350,0,527,Liberal
"Rosen, Jacky",9201,4201,5000,Candidate (D-NVS1),Democrat
"Menendez, Rob",9025,525,8500,Candidate (D-NJ08),Democrat
"Kaine, Tim",8805,6305,2500,Candidate (D-VAS1),Democrat
Mr Southern Missourian in the House,8500,3500,5000,LeadPAC,Republican
"Harshbarger, Diana",8500,0,8500,Candidate (R-TN01),Republican
"Clark, Katherine",8500,0,8500,Candidate (D-MA05),Democrat
"Scalise, Steve",7500,0,7500,Candidate (R-LA01),Republican
"Mullin, Kevin",7500,0,7500,Candidate (D-CA15),Democrat
"Smith, Adrian",7500,0,7500,Candidate (R-NE03),Republican
"Marshall, Roger",7500,0,7500,Candidate (R-KSS1),Republican
Vote Blue Majority,7124,7124,0,Outside Group,Liberal
"Tester, Jon",7025,7025,0,Candidate (D-MTS1),Democrat
"Eppler, Sam",6600,6600,0,Candidate (D-TX24),Democrat
"Gottheimer, Josh",6500,500,6000,Candidate (D-NJ05),Democrat
"Mullin, Markwayne",6500,0,6500,Candidate (R-OKS2),Republican
"Kim, Andy",6393,6393,0,Candidate (D-NJ03),Democrat
"Schneider, Brad",6000,0,6000,Candidate (D-IL10),Democrat
"Kelly, Robin",6000,0,6000,Candidate (D-IL02),Democrat
"Feenstra, Randy",6000,0,6000,Candidate (R-IA04),Republican
"Arrington, Jodey",6000,0,6000,Candidate (R-TX19),Republican
"Ferguson, Drew",5500,0,5500,Candidate (R-GA03),Republican
"Sinema, Kyrsten",5400,400,5000,Candidate (I-AZS2),Independent
"Carter, Buddy",5300,3300,2000,Candidate (R-GA01),Republican
"Kean, Thomas H Jr",5300,3300,2000,Candidate (R-NJ07),Republican
"Johnson, Mike",5150,150,5000,Candidate (R-LA04),Republican
"Schumer, Charles E",5110,110,5000,Candidate (D-NYS2),Democrat
"Duckworth, Tammy",5050,50,5000,Candidate (D-ILS2),Democrat
"McCarthy, Kevin",5025,25,5000,Candidate (R-CA20),Republican
"Wenstrup, Brad",5000,0,5000,Candidate (R-OH02),Republican
"Neal, Richard E",5000,0,5000,Candidate (D-MA01),Democrat
"Comer, James",5000,0,5000,Candidate (R-KY01),Republican
"Estes, Ron",5000,0,5000,Candidate (R-KS04),Republican
Alamo PAC,5000,0,5000,LeadPAC,Republican
Heartland Values PAC,5000,0,5000,Carey,Republican
"Steube, Greg",5000,0,5000,Candidate (R-FL17),Republican
"Crapo, Mike",5000,0,5000,Candidate (R-IDS2),Republican
"Peters, Scott",5000,0,5000,Candidate (D-CA50),Democrat
"Palmer, Gary",5000,0,5000,Candidate (R-AL06),Republican
"Hassan, Maggie",5000,0,5000,Candidate (D-NHS1),Democrat
"Blackburn, Marsha",5000,0,5000,Candidate (R-TNS1),Republican
"DeGette, Diana",5000,0,5000,Candidate (D-CO01),Democrat
"McHenry, Patrick",5000,0,5000,Candidate (R-NC10),Republican
"Sewell, Terri",5000,0,5000,Candidate (D-AL07),Democrat
"Bucshon, Larry",5000,0,5000,Candidate (R-IN08),Republican
"Beatty, Joyce",5000,0,5000,Candidate (D-OH03),Democrat
"Aguilar, Pete",5000,0,5000,Candidate (D-CA33),Democrat
"Dunn, Neal",5000,0,5000,Candidate (R-FL02),Republican
BRETTPAC,5000,0,5000,LeadPAC,Republican
Common Ground PAC,5000,0,5000,LeadPAC,Democrat
Beyond Thoughts & Prayers PAC,5000,0,5000,LeadPAC,Democrat
"Cotton, Tom",5000,0,5000,Candidate (R-ARS1),Republican
"Strickland, Marilyn",5000,0,5000,Candidate (D-WA10),Democrat
North Carolina Red,5000,0,5000,LeadPAC,Republican
"Hirono, Mazie K",5000,0,5000,Candidate (D-HIS2),Democrat
"Obernolte, Jay",4500,0,4500,Candidate (R-CA23),Republican
"Peters, Gary",4300,3300,1000,Candidate (D-MIS1),Democrat
"Schiff, Adam",4242,4242,0,Candidate (D-CA30),Democrat
"Murphy, Tammy",4145,4145,0,Candidate (D-NJS1),Democrat
"Gallego, Ruben",4022,4022,0,Candidate (D-AZ03),Democrat
"Baldwin, Tammy",3672,3672,0,Candidate (D-WIS1),Democrat
