Recipient,Total,From Individuals,From Organization,Recipient Type,View
GOPAC,321000,0,321000,527,Conservative
Democratic Assn of Secretaries of State,100000,0,100000,527,Liberal
Democratic Lieutenant Governors Assn,100000,0,100000,Political Party,Democrat
"Blackburn, Marsha",17500,8500,9000,Candidate (R-TNS1),Republican
"Harris, Kamala",14395,14395,0,Candidate (D-PRES),Democrat
"Kaine, Tim",14000,4000,10000,Candidate (D-VAS1),Democrat
Democratic Party of Illinois,10000,0,10000,Political Party,Democrat
"Johnson, Mike",10000,0,10000,Candidate (R-LA04),Republican
Impact (Schumer),10000,0,10000,LeadPAC,Democrat
Together Holding Our Majority PAC,10000,0,10000,LeadPAC,Republican
"Carter, Buddy",9000,4000,5000,Candidate (R-GA01),Republican
"Hogan, Larry",9000,9000,0,Candidate (R-MDS1),Republican
"Tester, Jon",8500,0,8500,Candidate (D-MTS1),Democrat
"Rosen, Jacky",8000,1000,7000,Candidate (D-NVS1),Democrat
Freedom Fund,8000,0,8000,LeadPAC,Republican
Continuing America's Strength & Security,7500,0,7500,LeadPAC,Republican
"Bucshon, Larry",7500,5000,2500,Candidate (R-IN08),Republican
"Peters, Scott",7500,0,7500,Candidate (D-CA50),Democrat
M-PAC,7500,0,7500,LeadPAC,Democrat
"Curtis, John",7500,0,7500,Candidate (R-UT03),Republican
Blue Hen PAC,7500,0,7500,LeadPAC,Democrat
"Casey, Bob",6000,0,6000,Candidate (D-PAS2),Democrat
"Hirono, Mazie K",6000,0,6000,Candidate (D-HIS2),Democrat
"Schneider, Brad",6000,0,6000,Candidate (D-IL10),Democrat
"Davis, Don",5750,1250,4500,Candidate (D-NC01),Democrat
"Harshbarger, Diana",5000,0,5000,Candidate (R-TN01),Republican
Dirigo PAC,5000,0,5000,LeadPAC,Republican
"Cassidy, Bill",5000,2500,2500,Candidate (R-LAS1),Republican
Bluegrass Cmte,5000,0,5000,LeadPAC,Republican
Forward Together PAC,5000,0,5000,LeadPAC,Democrat
Reaching for a Brighter America PAC,5000,0,5000,LeadPAC,Republican
Getting Stuff Done PAC,5000,0,5000,LeadPAC,Independent
Common Values PAC,5000,0,5000,LeadPAC,Republican
