Recipient,Total,From Individuals,From Organization,Recipient Type,View
"Harris, Kamala",143528,143528,0,Candidate (D-PRES),Democrat
DNC Services Corp,54588,54588,0,Political Party,Democrat
ActBlue Non-Federal,24963,24963,0,527,Liberal
Beyond Thoughts & Prayers PAC,14500,2000,12500,LeadPAC,Democrat
"Clark, Katherine",11150,1150,10000,Candidate (D-MA05),Democrat
"Carter, Buddy",11000,1000,10000,Candidate (R-GA01),Republican
"Trump, Donald",10104,10104,0,Candidate (R-PRES),Republican
Massachusetts Democratic State Cmte,10100,100,10000,Political Party,Democrat
"Peters, Scott",10000,0,10000,Candidate (D-CA50),Democrat
"Emmer, Tom",10000,0,10000,Candidate (R-MN06),Republican
"Schneider, Brad",9128,4128,5000,Candidate (D-IL10),Democrat
"Kennedy, Robert F Jr.",8031,8031,0,Candidate (I-PRES),Independent
"Kim, Andy",7355,7355,0,Candidate (D-NJ03),Democrat
"Casey, Bob",7242,2242,5000,Candidate (D-PAS2),Democrat
"Brown, Sherrod",6943,6943,0,Candidate (D-OHS1),Democrat
Democratic Congressional Campaign Cmte,6394,6394,0,Political Party,Democrat
"Alsobrooks, Angela",6048,6048,0,Candidate (D-MDS1),Democrat
"Guthrie, Brett",6000,0,6000,Candidate (R-KY02),Republican
"Bucshon, Larry",6000,1000,5000,Candidate (R-IN08),Republican
"Miller-Meeks, Mariannette",5500,0,5500,Candidate (R-IA01),Republican
National Republican Congressional Cmte,5202,5202,0,Political Party,Republican
"Rochester, Lisa Blunt",5129,129,5000,Candidate (D-DE01),Democrat
Democratic Senatorial Campaign Cmte,5119,5119,0,Political Party,Democrat
"McCarthy, Kevin",5050,50,5000,Candidate (R-CA20),Republican
"McHenry, Patrick",5000,0,5000,Candidate (R-NC10),Republican
"Kelly, Robin",5000,0,5000,Candidate (D-IL02),Democrat
"Rodgers, Cathy McMorris",5000,0,5000,Candidate (R-WA05),Republican
"Peters, Gary",5000,1500,3500,Candidate (D-MIS1),Democrat
"Hudson, Richard",5000,0,5000,Candidate (R-NC09),Republican
"Feenstra, Randy",5000,0,5000,Candidate (R-IA04),Republican
Just the Truth PAC,5000,5000,0,Outside Group,Liberal
"Crapo, Mike",5000,0,5000,Candidate (R-IDS2),Republican
"Smith, Jason",5000,0,5000,Candidate (R-MO08),Republican
"Ferguson, Drew",5000,0,5000,Candidate (R-GA03),Republican
SAC PAC,5000,0,5000,LeadPAC,Democrat
"Cassidy, Bill",5000,0,5000,Candidate (R-LAS1),Republican
"LaHood, Darin",5000,0,5000,Candidate (R-IL16),Republican
"Brownley, Julia",4500,0,4500,Candidate (D-CA26),Democrat
"Kaine, Tim",4049,1049,3000,Candidate (D-VAS1),Democrat
